mca12,ident3,se2,coded_ms,id3_ind,se2_ind,int_111,int_2,int_2_ind,F1_initial,F1_second,F1_fitted,B1_fitted,B2_fitted,F2_fitted,B3_fitted,B4_fitted,F1,B1,B2,F2,B3,B4,F1,F1,B1,B2,F2,B3,B4,Best_Model,se2_id3_ind Model,se3_ind,se3_ind+id3_ind,id3_ind_model,int_2_model,int_0_fitted,int_0_model
8,9,8,1,1,0,0,8,0,4.94,0,4.94,4.96,4.91,5.59,5.54,5.57,3.06,3.04,3.09,2.41,2.46,2.43,,,,,,,,1.9,2.41,0,2.4,2.78,1.95,6.04,1.96
7,5,8,1,0,0,0,8,0,6.82,0,6.82,6.68,6.99,6.54,6.47,6.68,0.18,0.32,0.01,0.46,0.53,0.32,,,,,,,,0.9,0.3,0,0.28,0.79,0.95,6.04,0.96
7,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,1.59,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
9,3,6,1,0,1,0,6,1,6.78,0,6.78,7.54,8.03,5.22,5.2,5.35,2.22,1.46,0.97,3.78,3.8,3.65,,,,,,,,2.9,3.245,0,2.28,2.79,4.25,6.04,2.96
9,8,5,1,1,1,0,5,1,3.94,0,3.94,5.39,5.43,4.27,4.27,4.24,5.06,3.61,3.57,4.73,4.73,4.76,,,,,,,,2.9,4.355,0,3.4,3.78,4.25,4.79,4.21
6,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,0.74,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
4,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-0.73,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-0.645,1,-0.41,-1.22,-2.05,4.79,-0.79
4,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,-1.73,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
7,6,7,0,0,1,0,0,0,2.43,3.71,6.14,6.25,6.47,6.54,6.47,6.68,0.86,0.75,0.53,0.46,0.53,0.32,,,,,,,,0.9,1.245,1,1.47,0.79,0.95,6.04,0.96
6,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,0.33,0.18,0.05,-0.54,-0.47,-0.68,,,,,,,,-0.1,0.245,0,-0.72,-0.21,-0.05,6.04,-0.04
7,8,7,0,1,1,0,0,0,1.49,3.71,5.2,5.39,5.43,5.59,5.54,5.57,1.8,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,2.355,1,2.59,1.78,0.95,4.79,2.21
6,9,6,0,1,1,0,0,0,1.02,3.18,4.2,4.96,4.91,5.59,5.54,5.57,1.8,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,1.355,1,1.59,0.78,-0.05,4.79,1.21
2,9,9,0,1,0,0,0,0,1.02,4.77,5.79,4.96,4.91,5.59,5.54,5.57,-3.79,-2.96,-2.91,-3.59,-3.54,-3.57,,,,,,,,-4.1,-3.59,0,-3.6,-3.22,-4.05,6.04,-4.04
6,6,7,0,0,1,0,0,0,2.43,3.71,6.14,6.25,6.47,6.54,6.47,6.68,-0.14,-0.25,-0.47,-0.54,-0.47,-0.68,,,,,,,,-0.1,0.245,0,-0.72,-0.21,-0.05,6.04,-0.04
7,8,7,0,1,1,0,0,0,1.49,3.71,5.2,5.39,5.43,5.59,5.54,5.57,1.8,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,2.355,0,1.4,1.78,0.95,4.79,2.21
9,5,9,0,0,0,0,0,0,2.9,4.77,7.67,6.68,6.99,6.54,6.47,6.68,1.33,2.32,2.01,2.46,2.53,2.32,,,,,,,,2.9,2.3,1,3.47,2.79,2.95,6.04,2.96
7,6,7,0,0,1,0,0,0,2.43,3.71,6.14,6.25,6.47,6.54,6.47,6.68,0.86,0.75,0.53,0.46,0.53,0.32,,,,,,,,0.9,1.245,1,1.47,0.79,0.95,6.04,0.96
7,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,2.08,1.61,1.57,2.73,2.73,2.76,,,,,,,,0.9,2.355,0,1.4,1.78,2.25,4.79,2.21
2,9,8,1,1,0,1,8,0,4.94,0,4.94,4.96,4.91,5.59,5.54,5.57,-2.94,-2.96,-2.91,-3.59,-3.54,-3.57,,,,,,,,-0.86,-3.59,1,-2.41,-3.22,-4.05,6.04,-4.04
8,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,1.8,2.18,2.05,1.46,1.53,1.32,,,,,,,,1.9,1.3,1,2.47,1.79,1.95,6.04,1.96
8,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,2.27,2.61,2.57,2.41,2.46,2.43,,,,,,,,1.9,2.41,0,2.4,2.78,1.95,6.04,1.96
6,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,0.27,0.61,0.57,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
7,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,0.8,1.18,1.05,0.46,0.53,0.32,,,,,,,,0.9,0.3,1,1.47,0.79,0.95,6.04,0.96
5,7,9,0,0,0,0,0,0,1.96,4.77,6.73,5.82,5.95,6.54,6.47,6.68,-1.73,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-1.7,0,-1.72,-1.21,-1.05,6.04,-1.04
